SINGLE PRECISION TESTING
-------------------------------------------------------------------
KERNEL 6: 192.000000, 0.017024 ms
KERNEL 6: 192.000000, 0.047776 ms
KERNEL 6: 192.000000, 0.033920 ms
KERNEL 6: 192.000000, 0.027648 ms
CUB::REDUCE: 192.000000, 0.032512 ms
THRUST::REDUCE: 192.000000, 0.103424 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 256 (0.000001 GB)
NO THREAD: 384.000000, 0.000460 ms
THREAD: 384.000000, 0.014940 ms
KERNEL 1: 384.000000, 0.033824 ms
KERNEL 2: 384.000000, 0.053056 ms
KERNEL 3: 384.000000, 0.018208 ms
KERNEL 4: 384.000000, 0.032768 ms
KERNEL 5: 384.000000, 0.037536 ms
KERNEL 6: 384.000000, 0.010496 ms
KERNEL 6: 384.000000, 0.011072 ms
KERNEL 6: 384.000000, 0.011808 ms
KERNEL 6: 384.000000, 0.013888 ms
KERNEL 6: 384.000000, 0.013312 ms
KERNEL 6: 384.000000, 0.011616 ms
KERNEL 6: 384.000000, 0.010240 ms
KERNEL 6: 384.000000, 0.011904 ms
KERNEL 6: 384.000000, 0.010304 ms
KERNEL 6: 384.000000, 0.012288 ms
KERNEL 6: 384.000000, 0.014400 ms
KERNEL 6: 384.000000, 0.010144 ms
KERNEL 6: 384.000000, 0.010240 ms
KERNEL 6: 384.000000, 0.010176 ms
KERNEL 6: 384.000000, 0.010240 ms
KERNEL 6: 384.000000, 0.016448 ms
CUB::REDUCE: 384.000000, 0.027200 ms
THRUST::REDUCE: 384.000000, 0.088608 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 512 (0.000002 GB)
NO THREAD: 768.000000, 0.000872 ms
THREAD: 768.000000, 2.124716 ms
KERNEL 1: 768.000000, 0.016384 ms
KERNEL 2: 768.000000, 0.015648 ms
KERNEL 3: 768.000000, 0.014944 ms
KERNEL 4: 768.000000, 0.011264 ms
KERNEL 5: 768.000000, 0.011136 ms
KERNEL 6: 768.000000, 0.010784 ms
KERNEL 6: 768.000000, 0.012192 ms
KERNEL 6: 768.000000, 0.011360 ms
KERNEL 6: 768.000000, 0.011872 ms
KERNEL 6: 768.000000, 0.011264 ms
KERNEL 6: 768.000000, 0.011424 ms
KERNEL 6: 768.000000, 0.011904 ms
KERNEL 6: 768.000000, 0.012224 ms
KERNEL 6: 768.000000, 0.010240 ms
KERNEL 6: 768.000000, 0.009216 ms
KERNEL 6: 768.000000, 0.010208 ms
KERNEL 6: 768.000000, 0.010240 ms
KERNEL 6: 768.000000, 0.010240 ms
KERNEL 6: 768.000000, 0.014208 ms
KERNEL 6: 768.000000, 0.009792 ms
KERNEL 6: 768.000000, 0.010080 ms
CUB::REDUCE: 768.000000, 0.016256 ms
THRUST::REDUCE: 768.000000, 0.087808 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 1024 (0.000004 GB)
NO THREAD: 1536.000000, 0.001703 ms
THREAD: 1536.000000, 0.640303 ms
KERNEL 1: 1536.000000, 0.024544 ms
KERNEL 2: 1536.000000, 0.016544 ms
KERNEL 3: 1536.000000, 0.009920 ms
KERNEL 4: 1536.000000, 0.011200 ms
KERNEL 5: 1536.000000, 0.010688 ms
KERNEL 6: 1536.000000, 0.010592 ms
KERNEL 6: 1536.000000, 0.013312 ms
KERNEL 6: 1536.000000, 0.011488 ms
KERNEL 6: 1536.000000, 0.011296 ms
KERNEL 6: 1536.000000, 0.011424 ms
KERNEL 6: 1536.000000, 0.011264 ms
KERNEL 6: 1536.000000, 0.011264 ms
KERNEL 6: 1536.000000, 0.010880 ms
KERNEL 6: 1536.000000, 0.009216 ms
KERNEL 6: 1536.000000, 0.010240 ms
KERNEL 6: 1536.000000, 0.010240 ms
KERNEL 6: 1536.000000, 0.010240 ms
KERNEL 6: 1536.000000, 0.009216 ms
KERNEL 6: 1536.000000, 0.010240 ms
KERNEL 6: 1536.000000, 0.010176 ms
KERNEL 6: 1536.000000, 0.010880 ms
CUB::REDUCE: 1536.000000, 0.013312 ms
THRUST::REDUCE: 1536.000000, 0.095072 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 2048 (0.000008 GB)
NO THREAD: 3072.000000, 0.003370 ms
THREAD: 3072.000000, 1.092825 ms
KERNEL 1: 3072.000000, 0.042944 ms
KERNEL 2: 3072.000000, 0.017760 ms
KERNEL 3: 3072.000000, 0.010208 ms
KERNEL 4: 3072.000000, 0.011264 ms
KERNEL 5: 3072.000000, 0.010944 ms
